reporting_country,imported,y_m,y_s,y_l,y_u,SI
FR,1034,723.9976666666666,450.95202039621734,273.0456462704493,1174.949687062884,0.5842844311700831
ES,626,573.6724166666667,249.5220018215453,324.15041484512136,823.194418488212,0.5726416009814901
DE,455,596.6616666666666,245.12891465788385,351.5327520087828,841.7905813245504,0.6024385218947159
SE,69,89.39475,108.44852439312677,-19.053774393126773,197.84327439312676,0.6612813871671884
CZ,31,50.39808333333333,72.42227077069906,-22.024187437365725,122.82035410403239,0.513986303936313
IT,54,96.75141666666667,84.99915620786541,11.75226045880126,181.75057287453208,0.6444527608087708
AT,31,80.2005,81.95022638105543,-1.7497263810554244,162.15072638105545,0.511881691179446
FI,8,14.508916666666666,34.286338208297316,-19.777421541630652,48.79525487496398,0.5158696368476197
EL,6,24.534166666666664,83.41811269743067,-58.88394603076401,107.95227936409734,0.36369094729947327
HU,9,39.29241666666667,62.25168236766128,-22.959265700994614,101.54409903432796,0.34731470952133614
PL,2,14.191083333333333,59.12200104914649,-44.93091771581316,73.31308438247983,0.24704955917094287
SI,2,12.870416666666667,31.206351722842943,-18.335935056176275,44.07676838950961,0.2689904452352265
PT,4,11.902916666666666,30.63959866489941,-18.736681998232743,42.54251533156608,0.5030523750884272
MT,1,4.840333333333334,36.94604726408158,-32.105713930748244,41.78638059741491,0.34244620740825293
IE,1,10.478083333333334,45.61124450529215,-35.13316117195882,56.08932783862548,0.17424511932160566
RO,2,11.035,36.84526474409892,-25.81026474409892,47.88026474409892,0.3068661296509398
