country,imported,y_m,y_s,y_l,y_u,SI
TH,2959,1736.3745833333332,849.4037638391856,886.9708194941477,2585.778347172519,0.678497588806147
ID,1059,697.3205,358.2340363304959,339.08646366950416,1055.554536330496,0.6841723933644229
PF,288,157.65108333333333,122.2896916699888,35.361391663344534,279.94077500332213,0.5806482014236475
CU,486,329.4244166666667,157.58913187322108,171.8352847934456,487.0135485398878,0.6377644034655572
IN,764,510.5348333333333,211.02506429839357,299.5097690349397,721.5598976317269,0.666506695449281
PY,106,81.03141666666667,93.20826253975018,-12.176845873083508,174.23967920641684,0.7104768940333999
BO,60,42.4515,57.895018009444804,-15.443518009444801,100.34651800944481,0.6852852325246579
BR,282,275.43375,134.84085366516658,140.5928963348334,410.2746036651665,0.6756617565166563
KH,256,219.96825,108.78560294536551,111.1826470546345,328.7538529453655,0.6863973244713978
MX,293,235.253,141.47144089158232,93.78155910841767,376.7244408915823,0.7296207183552831
CI,134,78.7535,62.23207512385722,16.52142487614278,140.98557512385722,0.579586234774046
MV,330,303.56983333333335,145.76354513674872,157.80628819658463,449.33337847008204,0.694498291295961
LK,370,324.54041666666666,131.54403309537082,192.99638357129584,456.0844497620375,0.6635248608642285
VN,329,278.21816666666666,124.4335284668945,153.78463819977216,402.65169513356113,0.6493402014487378
DO,204,210.899,140.14475667400416,70.75424332599584,351.04375667400416,0.6764477619854471
BF,62,54.942,43.93128460731605,11.010715392683949,98.87328460731605,0.7078480500304993
SC,78,111.29191666666667,99.80347450409421,11.488442162572454,211.09539117076088,0.6547286092072077
NP,43,63.410583333333335,72.18554620861262,-8.774962875279286,135.59612954194597,0.5199623784288373
NC,50,28.869166666666665,34.12792090128143,-5.258754234614763,62.99708756794809,0.6859883985080777
PH,401,379.39033333333333,137.95073285959703,241.4396004737363,517.3410661929304,0.6765204250351642
MM,129,162.62575,90.90411448591321,71.7216355140868,253.5298644859132,0.6639817185782348
MY,186,261.459,133.26492011745904,128.19407988254096,394.72392011745904,0.67445546221367
CO,135,153.66025,100.87482148742124,52.78542851257875,254.53507148742125,0.7112011439053351
GY,18,20.244583333333335,38.92654071639985,-18.681957383066514,59.17112404973318,0.9267107542462439
JM,43,58.73291666666667,52.77825538066867,5.954661285998,111.51117204733534,0.7620493203199553
CR,116,139.64083333333332,84.70784782740647,54.93298550592685,224.34868116073977,0.7100939143133758
AO,40,46.856833333333334,41.03161293714279,5.825220396190545,87.88844627047612,0.7569966669289118
BD,79,91.22991666666667,72.0951476238775,19.134769042789173,163.32506429054416,0.6755442027179908
KM,18,19.16375,32.533547115178294,-13.369797115178294,51.697297115178294,0.7067460450932248
SG,74,118.72491666666667,74.06369277543115,44.66122389123552,192.78860944209782,0.6637733660973607
LA,48,66.76816666666667,51.151158343026474,15.6170083236402,117.91932500969315,0.6735404271509666
EG,25,21.707083333333333,22.968095921504485,-1.2610125881711518,44.675179254837815,0.7225777674692454
HN,22,30.80075,36.1795128684625,-5.378762868462502,66.9802628684625,0.6774903765571512
PK,33,59.30591666666667,71.29358777795333,-11.987671111286666,130.59950444462,0.6911059330794072
KE,63,82.19333333333333,54.70141620983006,27.49191712350327,136.89474954316339,0.6971440378346113
VE,38,70.15375,62.97836366428512,7.175386335714883,133.13211366428513,0.5695780312749211
EC,49,70.13233333333334,52.89537144909089,17.236961884242447,123.02770478242422,0.6884794780034529
HT,40,50.581583333333334,43.77748370507676,6.804099628256573,94.3590670384101,0.7839691475180295
TZ,65,115.06541666666666,76.05273275502162,39.01268391164504,191.1181494216883,0.6269980585759343
BJ,15,29.50675,43.00898739265946,-13.502237392659463,72.51573739265946,0.6673894034799964
GT,32,55.27333333333333,53.53569905433515,1.7376342789981862,108.80903238766848,0.7127396684745244
NI,22,43.711333333333336,41.5463274250453,2.1650059082880375,85.25766075837863,0.6285775158014345
ML,22,31.4115,32.457722933752365,-1.0462229337523645,63.86922293375237,0.7145776970627423
MG,16,13.3835,17.370605081516064,-3.9871050815160647,30.754105081516066,0.8127690710773052
BB,12,12.954833333333333,28.489128111232805,-15.534294777899472,41.44396144456614,0.7545031356651015
NG,30,66.76175,58.211047297132026,8.55070270286798,124.97279729713203,0.5577479393114185
DJ,25,33.633833333333335,33.22186373370517,0.41196959962816493,66.8556970670385,0.6873875435968425
CM,31,44.70291666666667,35.46633083640143,9.236585830265234,80.1692475030681,0.7394144875527693
SN,29,47.51,54.562481079693406,-7.052481079693408,102.0724810796934,0.6438482986973381
PE,32,55.9275,42.80773469298508,13.119765307014923,98.73523469298507,0.7003269739273833
AR,20,41.455083333333334,48.35894324686966,-6.903859913536323,89.81402658020299,0.5831711778656771
TT,3,3.2369166666666667,9.314162157204295,-6.077245490537629,12.551078823870963,0.7726574295525299
AG,5,8.293166666666668,17.074964616504417,-8.781797949837749,25.368131283171085,0.752266201933324
PR,4,5.6531666666666665,12.918386218922082,-7.265219552255416,18.571552885588748,0.719539356687788
SA,8,10.67425,20.677427865223574,-10.003177865223574,31.351677865223575,0.783628079664065
SV,6,9.915666666666667,17.31137406839855,-7.395707401731883,27.227040735065216,0.6610677110603808
BZ,5,12.037333333333333,21.78103729826293,-9.743703964929598,33.81837063159627,0.5253952105180779
CN,16,25.246,41.17204572438515,-15.926045724385151,66.41804572438515,0.7231165850425899
PA,15,39.27616666666667,44.58093506875738,-5.304768402090708,83.85710173542404,0.5527287913356692
GH,15,24.309666666666665,31.181767985798476,-6.872101319131811,55.491434652465145,0.6872567392244485
GA,13,23.102666666666664,28.73653015058954,-5.633863483922877,51.83919681725621,0.6426025778335858
TG,29,42.92066666666667,38.61609941282053,4.3045672538461375,81.5367660794872,0.6688434478731194
CD,10,19.192333333333334,24.69975069727447,-5.507417363941137,43.892084030607805,0.6697020907315848
CG,14,20.406666666666666,23.27788641563052,-2.8712197489638527,43.684553082297185,0.7575518310404961
GQ,7,11.803333333333335,19.00208678952287,-7.198753456189536,30.805420122856205,0.6845683389469952
ET,11,26.931166666666666,39.612538388359,-12.681371721692333,66.54370505502567,0.5641534885560248
FJ,13,26.956,34.71826903400004,-7.762269034000038,61.674269034000034,0.6006815830747154
MR,6,8.693916666666667,14.568612024613369,-5.8746953579467025,23.262528691280036,0.687506734646424
SO,18,35.85025,34.61311064831543,1.2371393516845757,70.46336064831543,0.6505819378740118
NE,4,4.603916666666667,12.22860465064159,-7.624687983974923,16.832521317308256,0.8065319089174504
UG,10,16.572,20.583707993488026,-4.011707993488027,37.15570799348802,0.698906116714336
GN,9,14.461083333333333,19.215762982248265,-4.754679648914932,33.6768463155816,0.7457669260797136
SL,1,2.0825833333333335,7.085686069579677,-5.003102736246344,9.16826940291301,0.6488064664377822
CV,3,10.239166666666666,26.349402261899513,-16.110235595232847,36.588568928566175,0.45320073015673196
SD,4,16.828083333333332,31.535972435820103,-14.70788910248677,48.36405576915344,0.3840967923916827
BW,3,7.1594999999999995,14.311529845936104,-7.152029845936104,21.4710298459361,0.5905802450908018
ZA,6,11.6225,18.462504811383695,-6.840004811383695,30.085004811383698,0.6809476521492409
PG,3,6.116583333333333,16.354182344965647,-10.237599011632314,22.47076567829898,0.658141299280615
WS,2,4.49825,13.550618020425992,-9.052368020425991,18.048868020425992,0.6155503404762821
SB,1,3.6519166666666667,11.580110353314547,-7.92819368664788,15.232027019981214,0.42993031546136895
CL,4,6.645666666666667,12.98045780519853,-6.3347911385318625,19.626124471865197,0.7514794752168331
CF,3,6.8107500000000005,16.93264801061474,-10.121898010614741,23.74339801061474,0.611574038682058
ER,3,6.470833333333333,13.76270457085902,-7.291871237525687,20.233537904192353,0.6335239771227453
MU,10,26.227166666666665,30.759266712210476,-4.53210004554381,56.98643337887714,0.5520718797587446
MZ,11,28.344916666666666,37.3300647962041,-8.985148129537432,65.67498146287076,0.5591573667924066
BN,1,1.7326666666666666,7.049240288192366,-5.316573621525699,8.781906954859032,0.7318858258111735
YE,4,7.945250000000001,14.918535970652078,-6.973285970652078,22.863785970652078,0.6697222745442748
CW,1,1.94875,7.862531056801476,-5.913781056801476,9.811281056801477,0.6782534972445952
LC,3,6.037916666666667,11.690645962533948,-5.652729295867281,17.728562629200614,0.6638698077543681
BS,2,3.8753333333333337,15.109693949716283,-11.234360616382949,18.985027283049618,0.680812436173834
DM,3,7.226333333333334,16.307183952759303,-9.08085061942597,23.533517286092636,0.5867205580364419
IR,2,4.8029166666666665,15.086522837844223,-10.283606171177556,19.88943950451089,0.5879830954860048
