reporting_country,imported,y_m,y_s,y_l,y_u,SI
DE,4067,2790.3825,810.9938155010316,1979.3886844989686,3601.376315501032,0.66365341780677
SE,684,606.99775,381.46064167826125,225.53710832173874,988.4583916782613,0.7152986904895846
FR,2633,2057.387,502.5278240932864,1554.8591759067137,2559.9148240932864,0.6805322247396642
ES,1064,1027.2538333333334,254.89399369075744,772.3598396425759,1282.147827024091,0.6682229632095514
AT,309,331.44708333333335,144.55339161804739,186.89369171528597,476.00047495138074,0.6529904565365471
IT,527,497.28433333333334,168.42077970526537,328.86355362806796,665.7051130385987,0.6533539027086555
NO,430,530.735,181.48287104742934,349.2521289525707,712.2178710474293,0.6561800774060138
FI,43,51.31941666666667,53.75698931230917,-2.437572645642504,105.07640597897584,0.7908428186843818
PT,90,127.05925,74.15089967915745,52.90835032084256,201.21014967915744,0.6782042230404833
HU,90,114.89916666666667,73.01896686127203,41.88019980539464,187.91813352793872,0.6484173109537618
PL,124,177.39775,88.5937380331993,88.8040119668007,265.9914880331993,0.711855568486051
SI,31,53.31583333333333,40.908680804321705,12.407152529011626,94.22451413765504,0.6591011968886824
LT,22,31.181916666666666,38.65208707571499,-7.470170409048322,69.83400374238165,0.7179602089055961
LV,26,36.87316666666666,35.37925063691885,1.4939160297478153,72.2524173035855,0.6895151349674875
EE,53,83.88775,55.16722877186113,28.720521228138864,139.05497877186113,0.6876327501913065
RO,49,79.96208333333334,54.744606220764624,25.217477112568716,134.70668955409798,0.7055717281242224
IE,46,92.97916666666667,68.5031040234264,24.47606264324027,161.48227069009306,0.6282152600809473
SK,25,35.99516666666666,34.77975468648978,1.2154119801768815,70.77492135315644,0.7240737654076417
HR,8,10.521083333333333,16.641877664222402,-6.120794330889069,27.162960997555736,0.7713641660630003
EL,22,37.38333333333333,32.57521286150431,4.808120471829021,69.95854619483765,0.6833707549817569
MT,8,19.090166666666665,28.822902610522572,-9.732735943855907,47.91306927718924,0.5906202127463225
IS,1,1.6583333333333334,5.850579804947607,-4.192246471614274,7.50891313828094,0.7523510971786834
