country,imported,y_m,y_sd,y_hdi_5,y_hdi_95,y_l,y_u,SI
TH,2959,2511.9220833333334,69.7811950241113,2397,2626,2441.651774286978,2582.192392379689,0.82
ID,1059,667.2788333333333,33.23211928198715,610,719,633.5576000291018,701.0000666375648,0.82
PH,401,345.6333333333333,24.200589983625513,302,382,320.9436293274634,370.32303733920327,0.82
VN,329,181.67058333333333,17.694958829933896,151,209,163.48651048115502,199.85465618551163,0.82
KH,256,356.83725,24.256224543489175,317,396,332.09191143426636,381.5825885657336,0.82
MY,186,383.20458333333335,24.34175553090592,340,420,358.373713780183,408.0354528864837,0.82
MM,129,182.77566666666667,16.21982864342969,154,207,166.06672400099256,199.48460933234077,0.82
SG,74,122.90633333333334,13.637047330301707,100,144,108.7801719807872,137.03249468587947,0.82
LA,48,45.49491666666667,8.226317979087336,30,57,36.779484665334905,54.21034866799843,0.82
BN,1,1.5006666666666666,1.4343986738545025,0,3,-0.42284602943226474,3.424179362765598,0.82
IN,764,394.1188333333333,27.025103366540936,347,436,366.60461594454796,421.6330507221187,0.82
LK,370,342.74041666666665,25.587611582425108,297,381,316.6636910619971,368.8171422713362,0.82
MV,330,234.91183333333333,20.72205089525541,200,267,213.7006684158335,256.1229982508332,0.82
BD,79,80.42283333333333,12.259018937319395,58,98,67.67470037376951,93.17096629289715,0.82
PK,33,33.151,7.220390040249442,21,44,25.441495937506133,40.860504062493874,0.82
NP,43,30.328333333333333,7.1315517635053,17,40,22.707667547583604,37.94899911908306,0.82
IR,2,2.3155833333333335,1.7063090262480463,0,5,0.12016028484085844,4.511006381825809,0.82
CN,16,35.03425,7.156377827097076,22,45,27.388758150658497,42.679741849341504,0.82
SA,8,15.411416666666666,4.398520924855182,7,21,10.523781719567054,20.299051613766277,0.82
YE,4,6.78275,2.727401529692074,3,11,3.5662344480634975,9.999265551936503,0.82
CU,486,139.6805,15.200507220155517,113,163,123.99087875760006,155.37012124239993,0.82
DO,204,162.27875,17.113835974755435,132,188,144.67580000300015,179.88169999699986,0.82
JM,43,31.911416666666668,7.2564961466529345,20,43,24.165806497769303,39.65702683556403,0.82
HT,40,34.205,7.115509468759072,21,44,26.600376508996497,41.8096234910035,0.82
AG,5,6.51275,3.007629870429538,2,11,3.016006107326033,10.009493892673966,0.82
BB,12,14.6265,4.669939087754073,6,21,9.467446890001497,19.785553109998503,0.82
DM,3,4.622916666666667,2.360308911927043,1,8,1.773493732495195,7.472339600838139,0.82
PR,4,5.0761666666666665,2.4605619897811057,2,9,2.126490654641132,8.025842678692202,0.82
BS,2,2.3924166666666666,1.7417211295312334,0,5,0.16158151489100442,4.623251818442329,0.82
CW,1,1.5233333333333334,1.3307099191367322,0,3,-0.2964906080478276,3.3431572747144944,0.82
TT,3,3.0763333333333334,1.8803829101778415,0,6,0.706836400911063,5.445830265755604,0.82
LC,3,5.444916666666667,2.6009868306194006,1,9,2.3548158138028374,8.535017519530497,0.82
BR,282,289.70925,23.038696746362053,248,324,266.1814392313935,313.2370607686065,0.82
CO,135,143.35591666666667,70.89141160953882,47,229,71.97539103488343,214.73644229844993,0.82
PY,106,72.24875,38.92547417956738,24,122,32.83416179818819,111.6633382018118,0.82
EC,49,37.97325,10.311831446005765,21,53,27.172304531749806,48.77419546825019,0.82
VE,38,45.464666666666666,12.355993885110532,27,65,32.61955875931171,58.309774574021624,0.82
PE,32,35.33733333333333,10.127686782062108,18,50,24.720532529026798,45.95413413763987,0.82
AR,20,27.193583333333333,8.188189186854578,14,39,18.516280124234328,35.87088654243234,0.82
BO,60,23.3295,6.875603955290036,13,34,15.964782022465535,30.694217977534464,0.82
GY,18,8.72475,4.083175329426026,2,14,4.152460648329545,13.297039351670456,0.82
CL,4,6.469833333333334,3.432674851903234,1,11,2.548044459185671,10.391622207480998,0.82
MX,293,108.58725,20.00867863630263,72,137,88.08945734145294,129.08504265854705,0.82
CR,116,136.02175,54.924538628960434,61,202,80.60809734879514,191.43540265120484,0.82
GT,32,48.40575,21.163312207784646,18,73,26.753323769970923,70.05817623002906,0.82
NI,22,28.63533333333333,9.743408963100247,14,43,18.402810347988655,38.86785631867801,0.82
HN,22,13.271416666666667,4.8880210371603585,5,20,7.894281607261879,18.648551726071453,0.82
PA,15,17.774083333333333,6.355945641134414,6,26,10.92902366995449,24.619142996712178,0.82
BZ,5,5.4976666666666665,3.0748432841727436,0,9,1.9337093602494941,9.06162397308384,0.82
SV,6,4.978583333333333,2.8985843659256996,1,9,1.5908849451632046,8.366281721503462,0.82
SC,78,58.55108333333333,12.761670103336353,36,77,45.30029920775255,71.8018674589141,0.82
KE,63,58.15691666666667,18.658678780299233,32,77,39.009123864123005,77.30470946921032,0.82
TZ,65,76.33533333333334,17.66707535376344,46,101,58.17914395732547,94.4915227093412,0.82
SO,18,31.24266666666667,10.167166741799583,15,46,20.586385902622656,41.898947430710685,0.82
ET,11,18.891583333333333,8.554443045949215,6,30,9.848026265139689,27.93514040152698,0.82
MZ,11,17.20825,6.877975618171867,5,26,9.841160359583704,24.575339640416296,0.82
UG,10,12.42475,5.028171049613037,4,19,6.9074649281425335,17.942035071857465,0.82
MU,10,12.8115,4.926235995497306,5,20,7.396149982258265,18.226850017741736,0.82
KM,18,10.739833333333333,6.1297754150449,2,19,4.120943896044004,17.358722770622663,0.82
DJ,25,44.21516666666667,19.66187181591711,15,71,24.06418082850513,64.36615250482821,0.82
MG,16,27.264583333333334,13.71399208812137,7,45,13.061477222967534,41.467689443699136,0.82
ER,3,5.090083333333333,3.3248009955066817,0,9,1.2761683155822228,8.903998351084445,0.82
CI,134,47.37825,14.124276156231867,24,67,32.76485982152371,61.991640178476295,0.82
BF,62,37.22525,10.933877587762113,19,52,25.80225838999346,48.648241610006544,0.82
NG,30,40.434333333333335,11.575751432292517,21,57,28.36946787879639,52.49919878787028,0.82
SN,29,51.47325,18.510824340661692,21,77,32.47331163709388,70.47318836290611,0.82
GH,15,19.9785,8.130654201846244,7,31,11.358731775909327,28.598268224090674,0.82
TG,29,31.63175,9.08020605148914,17,45,22.062429926266432,41.20107007373357,0.82
BJ,15,14.367083333333333,5.251095107345599,6,22,8.626874203743306,20.10729246292336,0.82
ML,22,24.275166666666667,8.677563980685413,10,36,15.108488663736825,33.44184466959651,0.82
MR,6,8.465916666666667,4.228928744539081,2,14,3.747873899883157,13.183959433450177,0.82
GN,9,12.493833333333333,5.066849314142095,5,20,6.937869996946809,18.049796669719857,0.82
NE,4,3.7891666666666666,2.5146999765821416,0,7,0.7853526678400962,6.792980665493237,0.82
SL,1,1.7383333333333333,1.729170481923502,0,4,-0.47995117083459765,3.956617837501264,0.82
CV,3,5.229333333333333,3.1314383631523426,0,9,1.6087809479365616,8.849885718730105,0.82
AO,40,37.60841666666666,11.536236207116639,19,54,25.583066437305597,49.63376689602773,0.82
CM,31,39.38583333333333,11.501737519706413,20,55,27.394981791382488,51.37668487528418,0.82
CD,10,11.2505,4.752604522785375,4,18,6.008781454970197,16.492218545029804,0.82
CG,14,17.709666666666667,7.80567357047993,5,28,9.41487907394231,26.004454259391025,0.82
GQ,7,9.367833333333333,4.4461067582274225,2,15,4.432612552861482,14.303054113805185,0.82
GA,13,18.5645,6.670407764897136,7,28,11.404978212858435,25.724021787141563,0.82
CF,3,5.6365,3.8003992443777097,0,10,1.3469867333778613,9.926013266622139,0.82
EG,25,17.459333333333333,7.84131236181518,5,28,9.128906949273723,25.789759717392943,0.82
SD,4,6.3215,3.37015891069447,1,11,2.4622270670611015,10.1807729329389,0.82
ZA,6,9.17775,4.859302584133516,1,15,3.8293333936220546,14.526166606377945,0.82
BW,3,4.277,2.6758682703003154,0,8,1.112017707455256,7.441982292544745,0.82
PF,288,59.221583333333335,13.904986545350877,35,79,44.82748276573803,73.61568390092863,0.82
WS,2,3.5330833333333334,3.2019117455652784,0,7,-0.15794243447637385,7.224109101143041,0.82
SB,1,3.2805,3.0210626855462634,0,7,-0.22967670779069232,6.790676707790693,0.82
NC,50,14.544833333333333,5.702571639668857,6,23,8.353147671420047,20.73651899524662,0.82
FJ,13,16.0195,6.794933388194472,5,25,8.735452589561099,23.303547410438902,0.82
PG,3,5.20075,3.0994003889193364,0,9,1.612235588836235,8.789264411163765,0.82
