reporting_country,imported,y_m,y_sd,y_hdi_5,y_hdi_95,y_l,y_u,SI
FR,2633,1859.176,78.12417801594246,1731,1981,1779.2993510383308,1939.052648961669,0.81
NO,430,561.2726666666666,30.132576273675785,510,608,529.3876194472642,593.157713886069,0.81
SE,684,649.53425,32.48096355720019,596,702,615.3008154970732,683.7676845029268,0.81
SI,31,55.983,8.63008561178084,40,68,45.60044344249252,66.36555655750746,0.81
SK,25,36.939,6.681375532029314,26,47,28.50515352224405,45.37284647775595,0.81
IE,46,93.86475,11.251731308447603,76,112,80.86054774582577,106.86895225417423,0.81
EE,53,107.40758333333333,11.640502244020897,87,125,94.01461014358581,120.80055652308086,0.81
RO,49,115.83441666666667,12.583865284285888,93,134,101.49808043665415,130.17075289667918,0.81
DE,4067,2350.8061666666667,92.2958779973708,2198,2486,2256.757817723569,2444.8545156097643,0.81
ES,1064,880.40125,58.966200050855406,785,965,819.682579003418,941.119920996582,0.81
IT,527,495.7085,28.03303755244277,449,540,465.9229915018306,525.4940084981694,0.81
EL,22,61.04708333333333,8.910940830970405,45,74,50.383671556636294,71.71049511003037,0.81
AT,309,335.39875,22.580170100573497,294,368,311.0661089536998,359.7313910463002,0.81
HU,90,128.2685,13.001957842955806,106,148,113.51407121131756,143.02292878868244,0.81
LT,22,56.43833333333333,8.341284706539847,41,68,46.34457768106685,66.53208898559981,0.81
PL,124,220.34491666666668,17.109995592042747,190,246,201.4824501288973,239.20738320443604,0.81
PT,90,169.90066666666667,15.7107436559261,144,195,152.43745206501393,187.3638812683194,0.81
FI,43,100.838,10.982839159343088,83,118,88.10268989493028,113.57331010506971,0.81
LV,26,69.75208333333333,9.400316696423348,54,84,58.59929569118335,80.9048709754833,0.81
MT,8,29.93125,6.197353475812613,19,39,21.98142557846075,37.881074421539246,0.81
HR,8,8.15875,3.28537898942674,3,13,3.1209000648466256,13.196599935153372,0.81
IS,1,1.73625,1.3752645578821068,0,4,-1.391485503608741,4.863985503608741,0.81
