reporting_country,imported,y_m,y_s,y_l,y_u,SI
FR,2633.0,3956.033,521.9557737695379,3434.0772262304617,4477.988773769538,
NO,430.0,1059.96225,195.05479440982026,864.9074555901798,1255.0170444098203,
SE,684.0,1475.44225,397.6867930522501,1077.75545694775,1873.1290430522502,
SI,31.0,132.45241666666666,62.32878425466994,70.12363241199672,194.78120092133662,
SK,25.0,121.69308333333333,56.532143966109295,65.16093936722405,178.22522729944262,
IE,46.0,109.78758333333333,97.97991072111674,11.807672612216592,207.76749405445008,
EE,53.0,128.79891666666666,57.052124695490214,71.74679197117644,185.85104136215688,
RO,49.0,276.69083333333333,90.05437797826363,186.6364553550697,366.74521131159696,
DE,4067.0,5435.281583333333,986.9971705331219,4448.284412800212,6422.278753866455,
ES,1064.0,2118.7453333333333,292.03806967389164,1826.7072636594417,2410.783403007225,
IT,527.0,1449.7020833333333,254.65616130816517,1195.0459220251682,1704.3582446414985,
EL,22.0,184.34783333333334,78.99291863326876,105.35491470006458,263.3407519666021,
AT,309.0,1164.5821666666666,241.02540697134717,923.5567596953194,1405.6075736380137,
HU,90.0,556.7546666666667,138.14423435054863,418.6104323161181,694.8989010172154,
LT,22.0,149.99391666666668,72.4037119705304,77.59020469613628,222.39762863719707,
PL,124.0,622.82625,135.58532016319649,487.2409298368035,758.4115701631964,
PT,90.0,378.8160833333333,101.04699135783216,277.76909197550117,479.8630746911655,
FI,43.0,262.74325,87.88844320851105,174.85480679148895,350.631693208511,
LV,26.0,245.499,90.12722403348111,155.3717759665189,335.6262240334811,
MT,8.0,74.575,48.86812760221563,25.706872397784373,123.44312760221564,
HR,8.0,54.70858333333334,93.161254072344,-38.45267073901066,147.86983740567734,
IS,1.0,16.577416666666668,55.986224940055045,-39.408808273388374,72.56364160672172,
