country,year_x,imported_x,y_m_x,y_s_x,year_y,imported_y,y_m_y,y_s_y
AO,2018,13.0,8.46,11.48,2025,0.0,8.59,14.47
AR,2018,3.0,4.55,10.37,2025,0.0,17.02,23.35
BD,2018,20.0,11.31,16.43,2025,0.0,34.36,32.76
BF,2018,2.0,4.69,14.33,2025,0.0,25.43,29.69
BJ,2018,1.0,1.3,4.57,2025,0.0,25.7,26.18
BO,2018,1.0,1.9,5.7,2025,0.0,16.93,35.17
BR,2018,13.0,32.44,37.96,2025,0.0,68.28,44.61
BW,2018,1.0,1.36,5.54,2025,0.0,8.47,28.51
CD,2018,2.0,2.36,5.85,2025,0.0,25.71,25.46
CG,2018,2.0,2.42,6.08,2025,0.0,8.55,14.53
CI,2018,5.0,20.18,39.27,2025,0.0,42.75,41.43
CM,2018,6.0,5.32,10.98,2025,0.0,17.18,24.23
CN,2018,5.0,5.98,12.71,2025,0.0,17.09,23.1
CO,2018,22.0,18.75,22.3,2025,0.0,51.13,43.98
CR,2018,2.0,4.9,11.25,2025,0.0,25.47,40.95
CU,2018,79.0,55.31,60.76,2025,0.0,124.1,109.83
DJ,2018,2.0,2.68,6.46,2025,0.0,8.6,14.58
DO,2018,12.0,24.74,30.1,2025,0.0,68.39,46.0
EC,2018,1.0,1.13,3.63,2025,0.0,25.58,24.17
EG,2018,5.0,8.08,16.06,2025,0.0,8.46,24.04
ET,2018,1.0,1.31,4.85,2025,0.0,34.23,34.84
GH,2018,1.0,1.54,5.45,2025,0.0,8.61,14.66
GN,2018,2.0,2.45,6.41,2025,0.0,25.69,31.04
GT,2018,5.0,3.94,7.34,2025,0.0,42.91,46.11
HT,2018,10.0,7.48,12.69,2025,0.0,25.58,31.22
ID,2018,60.0,120.45,133.54,2025,0.0,118.88,65.96
IN,2018,127.0,106.53,93.98,2025,0.0,115.83,92.63
JM,2018,1.0,1.5,5.41,2025,0.0,59.97,45.04
KE,2018,7.0,7.99,11.99,2025,0.0,55.24,54.35
KH,2018,60.0,42.77,39.36,2025,0.0,102.51,57.48
LA,2018,6.0,4.55,8.59,2025,0.0,33.89,33.79
LK,2018,41.0,52.51,48.52,2025,0.0,88.97,85.45
MG,2018,4.0,3.25,8.58,2025,0.0,8.56,20.88
ML,2018,2.0,2.68,6.33,2025,0.0,25.66,27.85
MM,2018,21.0,22.34,25.36,2025,0.0,68.67,47.72
MV,2018,85.0,57.35,45.69,2025,0.0,119.83,62.94
MX,2018,36.0,44.38,43.14,2025,0.0,68.49,45.37
MY,2018,21.0,24.32,23.96,2025,0.0,76.9,51.7
MZ,2018,1.0,1.12,5.23,2025,0.0,17.06,24.87
NC,2018,6.0,6.53,13.37,2025,0.0,8.43,14.79
NE,2018,1.0,1.18,3.79,2025,0.0,8.52,15.05
NG,2018,4.0,4.08,8.5,2025,0.0,25.61,26.89
NI,2018,2.0,2.45,5.9,2025,0.0,25.59,39.12
NP,2018,2.0,3.25,9.43,2025,0.0,76.85,48.86
PA,2018,2.0,2.56,6.46,2025,0.0,17.02,22.71
PE,2018,1.0,1.06,3.52,2025,0.0,42.6,38.5
PF,2018,34.0,28.07,52.08,2025,0.0,34.22,40.38
PG,2018,1.0,1.45,5.67,2025,0.0,8.6,13.36
PH,2018,55.0,56.77,44.89,2025,0.0,97.76,65.74
PK,2018,2.0,2.58,6.45,2025,0.0,42.63,31.97
PY,2018,8.0,13.8,27.05,2025,0.0,8.61,25.71
SA,2018,2.0,1.9,6.78,2025,0.0,8.53,15.8
SC,2018,9.0,7.35,13.08,2025,0.0,25.76,27.08
SD,2018,1.0,1.34,5.15,2025,0.0,17.02,31.54
SG,2018,6.0,7.8,17.6,2025,0.0,59.91,55.05
SN,2018,1.0,1.66,6.06,2025,0.0,8.43,12.75
SO,2018,2.0,1.33,4.6,2025,0.0,17.03,23.13
SV,2018,1.0,1.46,5.05,2025,0.0,8.45,15.01
TG,2018,2.0,2.86,6.72,2025,0.0,17.02,20.8
TH,2018,539.0,483.47,362.07,2025,0.0,162.38,70.44
TZ,2018,15.0,11.31,14.45,2025,0.0,68.29,46.4
UG,2018,1.0,1.08,3.87,2025,0.0,25.66,35.36
VE,2018,16.0,10.64,16.62,2025,0.0,17.17,23.58
VN,2018,42.0,51.74,50.05,2025,0.0,102.63,65.69
