country,imported,y_m,y_s,y_l,y_u,SI
TH,2959.0,3352.9104166666666,981.4586402471783,2371.4517764194884,4334.369056913845,
ID,1059.0,1383.9815,417.1865372561559,966.7949627438443,1801.168037256156,
PH,401.0,739.7941666666667,174.17570454321643,565.6184621234503,913.9698712098831,
VN,329.0,675.85,169.20978104990553,506.6402189500945,845.0597810499055,
KH,256.0,602.934,155.40493942446187,447.5290605755381,758.3389394244618,
MY,186.0,462.05575,122.16449856344559,339.8912514365544,584.2202485634456,
MM,129.0,368.08675,127.46165115272743,240.62509884727257,495.5484011527274,
SG,74.0,296.07308333333333,93.67049739094487,202.40258594238844,389.7435807242782,
LA,48.0,169.29983333333334,64.52672367670243,104.77310965663091,233.82655701003577,
BN,1.0,1.5465,5.0755855099803275,-3.5290855099803276,6.6220855099803275,0.785391714117416
IN,764.0,1158.613,293.98819715179434,864.6248028482057,1452.6011971517944,
LK,370.0,671.0956666666667,168.62935309691437,502.46631356975234,839.725019763581,
MV,330.0,733.8085833333333,174.25322544450475,559.5553578888286,908.0618087778381,
BD,79.0,195.09116666666665,72.39771961014776,122.69344705651889,267.4888862768144,
PK,33.0,188.9045,74.88148413791185,114.02301586208816,263.7859841379119,
NP,43.0,314.25241666666665,98.33336771586373,215.9190489508029,412.5857843825304,
IR,2.0,3.093916666666667,7.778345144347707,-4.68442847768104,10.872261811014374,0.785250380355653
CN,16.0,80.40333333333334,53.31893486296222,27.084398470371113,133.72226819629554,
SA,8.0,39.23741666666667,30.05074906099178,9.186667605674888,69.28816572765845,
YE,4.0,4.8334166666666665,8.780030160631773,-3.9466134939651063,13.61344682729844,0.9056518334732692
CU,486.0,861.0365,220.08667228557127,640.9498277144288,1081.1231722855714,
DO,204.0,433.0151666666667,127.5980938052206,305.41707286144606,560.6132604718873,
JM,43.0,253.84191666666666,77.76364858650628,176.0782680801604,331.6055652531729,
HT,40.0,131.46825,71.17549033295863,60.29275966704138,202.64374033295866,
AG,5.0,95.43941666666667,58.42292891126426,37.016487755402416,153.86234557793094,
BB,12.0,41.08283333333333,33.11819104297907,7.964642290354263,74.2010243763124,
DM,3.0,34.70783333333333,28.926162882269313,5.78167045106402,63.63399621560265,
PR,4.0,5.133166666666667,11.852966080868034,-6.7197994142013675,16.9861327475347,0.8505812149856747
BS,2.0,2.8190833333333334,8.597546789136201,-5.778463455802868,11.416630122469535,0.8300333742585899
CW,1.0,1.2421666666666666,5.0972845457834595,-3.8551178791167926,6.339451212450126,0.8919943507024455
TT,3.0,2.8983333333333334,7.737027247488128,-4.838693914154795,10.635360580821462,0.8660638598474145
LC,3.0,34.227666666666664,28.95838351544443,5.269283151222233,63.186050182111096,
BR,282.0,523.68125,159.58212454764723,364.0991254523527,683.2633745476472,
CO,135.0,316.79775,110.58419203854577,206.21355796145423,427.3819420385458,
PY,106.0,118.43975,80.16248834420556,38.27726165579445,198.60223834420555,
EC,49.0,140.75941666666665,60.87851480832983,79.88090185833681,201.6379314749965,
VE,38.0,98.94491666666667,53.23164120860168,45.71327545806499,152.17655787526834,
PE,32.0,187.77191666666667,65.52241293703192,122.24950372963475,253.2943296036986,
AR,20.0,83.63958333333333,60.5416584816027,23.09792485173063,144.18124181493604,
BO,60.0,116.217,65.97875046387936,50.238249536120634,182.19575046387936,
GY,18.0,44.82925,38.8968024157804,5.932447584219602,83.7260524157804,
CL,4.0,35.44875,31.42274673452542,4.0260032654745785,66.87149673452541,
MX,293.0,514.2398333333333,145.63459555225197,368.6052377810813,659.8744288855853,
CR,116.0,204.39275,84.3676867290237,120.0250632709763,288.7604367290237,
GT,32.0,184.79141666666666,69.13753920397367,115.65387746269299,253.92895587064032,
NI,22.0,114.12866666666666,59.05990004249768,55.06876662416898,173.18856670916435,
HN,22.0,52.153999999999996,34.47685163666437,17.677148363335625,86.63085163666437,
PA,15.0,77.5125,41.13210744804718,36.38039255195282,118.64460744804718,
BZ,5.0,35.79708333333333,26.585030214253877,9.212053119079457,62.38211354758721,
SV,6.0,36.748666666666665,33.73400985062157,3.014656816045097,70.48267651728824,
SC,78.0,166.93233333333333,87.04246004707059,79.88987328626274,253.97479338040392,
KE,63.0,263.09516666666667,97.98582264960568,165.109344017061,361.08098931627234,
TZ,65.0,309.70258333333334,92.6075276952982,217.09505563803515,402.3101110286315,
SO,18.0,80.57783333333333,45.32460447074357,35.25322886258976,125.9024378040769,
ET,11.0,134.56733333333332,57.504053528636746,77.06327980469658,192.07138686197007,
MZ,11.0,74.18175,43.66917116499664,30.512578835003353,117.85092116499663,
UG,10.0,101.44816666666667,58.00801306582712,43.440153600839544,159.45617973249378,
MU,10.0,103.08608333333333,45.83367169994055,57.25241163339278,148.91975503327387,
KM,18.0,46.88933333333333,42.62517172681601,4.26416160651732,89.51450506014935,
DJ,25.0,55.69408333333333,40.19287267281564,15.501210660517692,95.88695600614898,
MG,16.0,44.51075,30.703487750362992,13.80726224963701,75.214237750363,
ER,3.0,4.168,10.881756063093883,-6.713756063093883,15.049756063093884,0.8370535714285715
CI,134.0,271.95933333333335,139.3238658108442,132.63546752248914,411.28319914417756,
BF,62.0,150.27116666666666,75.57105445583605,74.70011221083061,225.8422211225027,
NG,30.0,127.13316666666667,51.54852412550517,75.5846425411615,178.68169079217182,
SN,29.0,61.41833333333333,38.775255387722844,22.643077945610486,100.19358872105617,
GH,15.0,46.549,32.296974142596504,14.252025857403495,78.8459741425965,
TG,29.0,90.01308333333333,53.81793431430181,36.19514901903152,143.83101764763512,
BJ,15.0,106.38025,46.5338327120314,59.846417287968606,152.91408271203142,
ML,22.0,113.12691666666667,74.69811479103653,38.42880187563014,187.8250314577032,
MR,6.0,7.12825,11.89939733114446,-4.771147331144459,19.02764733114446,0.8446924253676867
GN,9.0,101.27658333333333,61.91489770103341,39.361685632299924,163.19148103436675,
NE,4.0,33.94433333333333,39.524885027391534,-5.580551694058201,73.46921836072487,
SL,1.0,1.5756666666666668,7.207804272782698,-5.632137606116031,8.783470939449366,0.7764979940468487
CV,3.0,4.631,9.892794036814527,-5.261794036814527,14.523794036814527,0.7862665443585375
AO,40.0,70.71766666666667,39.17295930075973,31.544707365906945,109.8906259674264,
CM,31.0,94.508,47.55630010557574,46.95169989442426,142.06430010557574,
CD,10.0,102.96191666666667,49.42888679540587,53.533029871260794,152.39080346207254,
CG,14.0,45.875083333333336,31.435438859974436,14.4396444733589,77.31052219330778,
GQ,7.0,7.33575,11.191465874152964,-3.8557158741529642,18.527215874152965,0.913276249934604
GA,13.0,74.38575,52.67265028683022,21.713099713169782,127.05840028683022,
CF,3.0,65.03241666666666,35.93781668089982,29.09459998576684,100.97023334756648,
EG,25.0,57.56325,41.87084413239855,15.692405867601444,99.43409413239854,
SD,4.0,65.5235,40.72317642645343,24.80032357354657,106.24667642645343,
ZA,6.0,39.73116666666667,34.744050986995674,4.987115679670993,74.47521765366234,
BW,3.0,34.03616666666667,31.857089238795172,2.179077427871494,65.89325590546184,
PF,288.0,372.1245833333333,180.91491420571728,191.20966912761602,553.0394975390506,
WS,2.0,3.138333333333333,8.085774070209,-4.9474407368756665,11.224107403542334,0.7784625364904314
SB,1.0,1.40975,4.663461627136159,-3.253711627136159,6.073211627136159,0.8299616142753399
NC,50.0,76.063,47.991631788647275,28.071368211352727,124.05463178864727,
FJ,13.0,105.09908333333334,47.04040476007161,58.05867857326173,152.13948809340496,
PG,3.0,35.175333333333334,31.019787604847608,4.155545728485727,66.19512093818093,
